Municipio,Neighborhood,Latitude,Longitude
I,Historical Center,41.89798,12.47813
II,Parioli/Nomentano,41.92006,12.50136
III,Monte Sacro,41.99579,12.55450
IV,Tiburtina,41.93151,12.59152
V,Prenestino/Centocelle,41.88846,12.57574
VI,Roma Delle Torri,41.88690,12.68729
VII,Appio-Latino/Tuscolano/Cinecitta,41.83840,12.58207
VIII,Appia Antica,41.82802,12.52934
IX,EUR,41.75700,12.49799
X,Ostia/Acilia,41.73875,12.36328
XI,Arvalia/Portuense,41.83002,12.37696
XII,Monte Verde,41.87037,12.34497
XIII,Aurelia,41.90979,12.34630
XIV,Monte Mario,41.97501,12.34567
XV,Cassia/Flaminia,42.02907,12.41586
